"","Name","geom","FID_Historic_Site","Document","HoCo.ID","Address","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Location","Survey.Year","Comments","FID_District"
"604","unnamed","POINT (1371621.0599999998 546178.995)","Historic_Sites_View.fid--710a7ce6_150a05f0815_575d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-773.pdf"" TARGET=""NEW"">Click Here </a>",773,"8040 Washington Blvd",43,14,491,2,"Commercial structure","","Jessup","UNK","NO FORM",NA
"605","unnamed","POINT (1371413.2799999998 545762.5499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_575e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-774.pdf"" TARGET=""NEW"">Click Here </a>",774,"8104 Washington Blvd",43,14,487,0,"Unnamed","House","Jessup","UNK","NO FORM",NA
"606","Elkridge Landing Survey D","POINT (1394967.2999999998 564001.62)","Historic_Sites_View.fid--710a7ce6_150a05f0815_575f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-784.pdf"" TARGET=""NEW"">Click Here </a>",784,"",38,4,0,0,"Elkridge Landing Survey District","","Elkridge","2003","Includes 67 buildings",NA
"607","Levering Ave Survey Dist","POINT (1393403.64 566110.74)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5760","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-785.pdf"" TARGET=""NEW"">Click Here </a>",785,"5471-5590 Levering Ave",32,21,0,0,"Levering Avenue Survey District","","Elkridge","2003","",NA
"608","Anderson P.O and dwelling","POINT (1389841.5899999999 556029.765)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5761","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-786.pdf"" TARGET=""NEW"">Click Here </a>",786,"6480 Anderson Ave",38,14,649,0,"Anderson Post Office and Dwelling","Cugle House","Hanover","2003","Old village of Anderson/Hanoverville",NA
"609","Samuel Norris House","POINT (1389720.72 555984.105)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5762","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-787.pdf"" TARGET=""NEW"">Click Here </a>",787,"6611 Railroad Street",38,14,650,0,"Samuel Norris House","","Hanover","2003","Old village of Anderson/Hanoverville",NA
"610","First Discovery","POINT (1389809.97 557235.48)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5763","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-788.pdf"" TARGET=""NEW"">Click Here </a>",788,"6270 Winters Ln",38,14,802,0,"First Discovery","Winters House","Hanover","2003","",NA
"611","unnamed","POINT (1389965.97 557560.335)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5764","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-789.pdf"" TARGET=""NEW"">Click Here </a>",789,"6322 Winters Ln",38,14,987,0,"Reilly-McNamara House","","Harwood Park","2007","Demo permit for SFD 4/4/2007 completed",NA
"612","Taylor House","POINT (1391049.63 559204.1549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5765","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-791.pdf"" TARGET=""NEW"">Click Here </a>",791,"6150 Hanover Rd",38,9,234,0,"Taylor House","","Hanover","2003","",NA
"613","unnamed","POINT (1389787.17 556168.77)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5766","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-792.pdf"" TARGET=""NEW"">Click Here </a>",792,"6470 Anderson Av",38,14,652,0,"Unnamed","House","Hanover","2003","Old village of Anderson/Hanoverville",NA
"614","Andersin Brick House","POINT (1389858.8699999999 556326.225)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5767","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-793.pdf"" TARGET=""NEW"">Click Here </a>",793,"6449 Anderson Av",38,14,645,0,"Anderson Brick House","","Hanover","2003","Old village of Anderson/Hanoverville",NA
"615","Matthews House","POINT (1389438.3299999998 556292.85)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5768","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-794.pdf"" TARGET=""NEW"">Click Here </a>",794,"6280 Mound St",38,14,922,0,"Matthews House","","Hanover","2003","Old village of Anderson/Hanoverville",NA
"616","Binder Farm","POINT (1381559.6099999999 552949.83)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5769","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-795.pdf"" TARGET=""NEW"">Click Here </a>",795,"6771 Dorsey Rd",37,24,375,0,"Bender/Binder Farm","","Dorsey","2008","",NA
"617","Thomas D. Bond House","POINT (1353029.3099999998 527497.83)","Historic_Sites_View.fid--710a7ce6_150a05f0815_576a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-796.pdf"" TARGET=""NEW"">Click Here </a>",796,"9410 All Saints Rd",50,2,485,6,"Bond-Webb House","Thomas D. Bond House","Laurel","2006","Demo permit for SFD and shed 2/27/2007 completed",NA
"618","Tutbury Gardeners Cottage","POINT (1388577.8099999998 564937.74)","Historic_Sites_View.fid--710a7ce6_150a05f0815_576b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-797.pdf"" TARGET=""NEW"">Click Here </a>",797,"6450 Elibank Rd",32,20,8,0,"Tutbury Gardeners Cottage","","Elkridge","2003","",NA
"619","Claremont","POINT (1392784.41 564666.495)","Historic_Sites_View.fid--710a7ce6_150a05f0815_576c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-798.pdf"" TARGET=""NEW"">Click Here </a>",798,"6051 Lawyers Hill Rd",38,3,0,0,"Claremont","","Elkridge","2003","",NA
"620","unnamed","POINT (1357053.24 526211.6549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_576d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-799.pdf"" TARGET=""NEW"">Click Here </a>",799,"9525 Baltimore Av",50,3,425,18,"Unnamed","House","Laurel","2003","North Laurel subdivision",NA
"621","Mt. Moriah Lodge #7","POINT (1367177.01 536004.6749999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_576e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-800.pdf"" TARGET=""NEW"">Click Here </a>",800,"Guilford Rd",48,7,116,0,"Mount Moriah Lodge No. 7","","Annap Junction","2003","Next to Asbury Methodist Church",NA
"622","Joseph Travers House","POINT (1358891.3399999999 528758.01)","Historic_Sites_View.fid--710a7ce6_150a05f0815_576f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-801.pdf"" TARGET=""NEW"">Click Here </a>",801,"9309 Whiskey Bottom Rd",47,22,191,0,"Joseph Travers House","","Laurel","2003","",NA
"623","Stone boundary wall fragm","POINT (1378920.21 574333.7849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5770","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-802.pdf"" TARGET=""NEW"">Click Here </a>",802,"Hale Ct",31,5,0,0,"Stone boundary wall fragment","","Ellicott City","2004","On parcel to be developed, not associated w/house",NA
"624","","POINT (1391965.2899999998 562590.135)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5771","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"6042 Old Washington Rd",38,3,678,0,"Old Washington Road Survey District","","Elkridge","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA
"625","George Hobbs House & Stor","POINT (1391399.3099999998 561400.215)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5772","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-804.pdf"" TARGET=""NEW"">Click Here </a>",804,"6165 Old Washington Rd",38,9,669,0,"George Hobbs House & Store","","Elkridge","2003","",NA
"626","Hobbs House","POINT (1391309.76 561334.065)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5773","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-805.pdf"" TARGET=""NEW"">Click Here </a>",805,"6181 Old Washington Rd",38,9,656,0,"Hobbs House","","Elkridge","2003","",NA
"627","Old Elkridge School House","POINT (1389742.3199999998 560424.495)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5774","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-806.pdf"" TARGET=""NEW"">Click Here </a>",806,"6317 Old Washington Rd",38,8,519,0,"Old Elkridge School House","","Elkridge","2002","",NA
"628","Hartke Double House","POINT (1389964.74 560498.5349999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5775","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-807.pdf"" TARGET=""NEW"">Click Here </a>",807,"6301 Old Washington Rd",38,8,195,0,"Hartke Double House","","Elkridge","2003","",NA
"629","unnamed","POINT (1387307.22 556342.2899999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5776","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-808.pdf"" TARGET=""NEW"">Click Here </a>",808,"6415 Loudon Av",38,13,873,31,"Unnamed","House","Elkridge","2003","Harwood Park, lots 31-33",NA
"630","unnamed","POINT (1386587.5799999998 556869.0599999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5777","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-809.pdf"" TARGET=""NEW"">Click Here </a>",809,"6615 Highland Ave",38,13,873,279,"Unnamed","House","Elkridge","2003","Harwood Park, lots 277-282",NA
"631","unnamed","POINT (1386067.26 556716.585)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5778","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-810.pdf"" TARGET=""NEW"">Click Here </a>",810,"6615 Highland Ave",38,13,873,0,"Hopkins-Roberts-Hood House","","Elkridge","2006","Demo permit for SFD 4/28/206 completed; Harwood Park, lots 550-557; see 898",NA
"632","unnamed","POINT (1386304.6199999999 555251.565)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5779","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-811.pdf"" TARGET=""NEW"">Click Here </a>",811,"6443 Harthorn Ave",38,19,873,933,"Unnamed","House","Elkridge","2003","Harwood Park, lots 933-935",NA
"633","unnamed","POINT (1386445.38 555372.4349999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_577a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-812.pdf"" TARGET=""NEW"">Click Here </a>",812,"6754 Athol Ave",38,19,873,900,"Unnamed","House","Elkridge","2003","Harwood Park, lots 900-903",NA
"634","unnamed","POINT (1382810.13 550497.72)","Historic_Sites_View.fid--710a7ce6_150a05f0815_577b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-813.pdf"" TARGET=""NEW"">Click Here </a>",813,"7011 Lennox Ave",43,6,303,0,"Unnamed","House","Elkridge","2003","Lennox Park",NA
"635","unnamed","POINT (1383031.95 550555.6649999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_577c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-814.pdf"" TARGET=""NEW"">Click Here </a>",814,"7024 Cedar Ave",43,6,306,0,"Unnamed","House","Elkridge","2003","Lennox Park",NA
"636","unnamed","POINT (1382963.76 550412.565)","Historic_Sites_View.fid--710a7ce6_150a05f0815_577d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-815.pdf"" TARGET=""NEW"">Click Here </a>",815,"7032 Cedar Ave",43,6,307,0,"Unnamed","House","Elkridge","2003","Lennox Park",NA
"637","unnamed","POINT (1383570.72 550255.71)","Historic_Sites_View.fid--710a7ce6_150a05f0815_577e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-816.pdf"" TARGET=""NEW"">Click Here </a>",816,"6901 Linden Ave",43,21,612,0,"Unnamed","House","Elkridge","2003","Lennox Park",NA
"638","unnamed","POINT (1383506.91 550312.485)","Historic_Sites_View.fid--710a7ce6_150a05f0815_577f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-817.pdf"" TARGET=""NEW"">Click Here </a>",817,"6909 Linden Ave",43,6,311,237,"Unnamed","House","Elkridge","2003","Lennox Park",NA
"639","Buncke Property","POINT (1368366.27 541053.495)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5780","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-824.pdf"" TARGET=""NEW"">Click Here </a>",824,"8402 Washington Blvd",43,19,526,0,"The Joseph and Irene Buncke Property","","Laurel","2004","Eastern Stair and Woodwork",NA
"640","Bucheck Property","POINT (1370688.99 543833.1)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5781","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-825.pdf"" TARGET=""NEW"">Click Here </a>",825,"8211 Washington Blvd",43,14,226,0,"The Michael Bucheck Property","","Jessup","2004","Cherry Hill Construction",NA
"641","Fleming Property","POINT (1370753.97 544283.205)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5782","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-826.pdf"" TARGET=""NEW"">Click Here </a>",826,"8205 Washington Blvd",43,14,222,0,"The Edwin D. and Margie P. Fleming Property","","Jessup","2004","Maple Park Trailer Park",NA
"642","Green Property","POINT (1371165.1199999999 545507.94)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5783","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-827.pdf"" TARGET=""NEW"">Click Here </a>",827,"8126 Washington Blvd",43,14,214,0,"The (Charles E.) Green Property","","Jessup","2004","Demo permit SFD & The Log Cabin Restaurant 9/18 & 9/19/2007 completed",NA
"643","Diehl Propery","POINT (1377146.19 550561.1849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5784","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-828.pdf"" TARGET=""NEW"">Click Here </a>",828,"7541 Washington Blvd",43,4,428,0,"Sullivan-Diehl Property","The Leo and Eleanor Diehl Property","Elkridge","2008","Demo permit for SFD 10/18/2007 completed, Hub Cap City",NA
"644","Watner Property","POINT (1380312.63 553027.965)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5785","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-829.pdf"" TARGET=""NEW"">Click Here </a>",829,"7239 Washington Blvd",37,23,107,0,"The Rosa Bonheur Memorial Park","Edward Gross and Abraham Watner Property","Elkridge","2004","",NA
"645","Chesgreen Property","POINT (1391495.2799999998 563200.0199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5786","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-830.pdf"" TARGET=""NEW"">Click Here </a>",830,"6100 Washington Blvd",38,3,861,0,"The Elmer C. and Mary C. Chesgreen Property","","Elkridge","2004","Buttermilk Hill Tavern",NA
"646","Harmon Property","POINT (1394397.51 564443.22)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5787","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-831.pdf"" TARGET=""NEW"">Click Here </a>",831,"5827 Washington Blvd",38,4,633,0,"The Charles R. and Helen M. Harman Property","","Elkridge","2004","Elkridge Liquors",NA
"647","E. Bird Williams Property","POINT (1393840.5899999999 564333.1799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5788","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-832.pdf"" TARGET=""NEW"">Click Here </a>",832,"5854 Washington Blvd.",38,4,629,0,"The E. Bird Williams Property","","Elkridge","2004","Daniels Restaurant and Biker Bar",NA
"648","Strickland Property","POINT (1376450.01 549729.465)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5789","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-833.pdf"" TARGET=""NEW"">Click Here </a>",833,"7615 Washington Blvd.",43,10,32,0,"The Lloyd and Hazel T. Strickland Property","","Elkridge","2004","Scooters Restaurant and Copper Stallion Inn",NA
"649","Humphries-Clarkin House","POINT (1391083.17 567631.9049999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_578a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-836.pdf"" TARGET=""NEW"">Click Here </a>",836,"6154 Rockburn Hill Rd",32,21,81,0,"Humphries-Clarkin House","","Elkridge","2004","",NA
"650","Jacob Fuchs House","POINT (1390808.0699999998 567665.565)","Historic_Sites_View.fid--710a7ce6_150a05f0815_578b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-837.pdf"" TARGET=""NEW"">Click Here </a>",837,"6160 Rockburn Hill Rd",32,14,1,1,"Jacob Fuchs House","","Elkridge","2004","",NA
"651","Igler Farm","POINT (1368887.97 573807.225)","Historic_Sites_View.fid--710a7ce6_150a05f0815_578c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-838.pdf"" TARGET=""NEW"">Click Here </a>",838,"New Cut Rd",31,1,0,0,"Igler Farm","","Ellicott City","2004","Demo for SFD 7/22/2005 completed, new subdivison built",NA
"652","Downs Log House","POINT (1319062.68 570075.825)","Historic_Sites_View.fid--710a7ce6_150a05f0815_578d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-839.pdf"" TARGET=""NEW"">Click Here </a>",839,"5073 Ten Oaks Rd",28,15,62,0,"Downs Log House","","Clarksville","2004","",NA
"653","Dorsey United Methodist C","POINT (1383304.1099999999 551160.585)","Historic_Sites_View.fid--710a7ce6_150a05f0815_578e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-840.pdf"" TARGET=""NEW"">Click Here </a>",840,"6951 Dorsey Rd",43,6,466,0,"Dorsey Emmanuel United Methodist Church and Parsonage","","Elkridge","2004","Across from Lennox Park (Dorsey Emmanuel Evangelical Church)",NA
"654","Stephens Property","POINT (1354230.24 535601.325)","Historic_Sites_View.fid--710a7ce6_150a05f0815_578f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-841.pdf"" TARGET=""NEW"">Click Here </a>",841,"9801 Gorman Rd",47,8,462,0,"Stephens Property","Linden Manor","Laurel","2004","Emerson subdivision",NA
"655","unnamed","POINT (1328436.5699999998 560939.37)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5790","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-842.pdf"" TARGET=""NEW"">Click Here </a>",842,"12400 Route 108",34,12,35,0,"Unnamed","House","Clarksville","2004","Corner of Ten Oaks and Route 108",NA
"656","unnamed","POINT (1351128.75 587048.7)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5791","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-843.pdf"" TARGET=""NEW"">Click Here </a>",843,"10109 Frederick Rd",24,1,62,0,"Unnamed","House","Ellicott City","2004","",NA
"657","unnamed","POINT (1351327.47 587163.705)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5792","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-844.pdf"" TARGET=""NEW"">Click Here </a>",844,"10114 Frederick Rd",24,1,61,0,"Charles and Margaret Kirn House","","Ellicott City","2008","New commercial development built",NA
"658","Log House","POINT (1391705.7 564496.1699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5793","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-845.pdf"" TARGET=""NEW"">Click Here </a>",845,"6085 Lawyers Hill Rd",38,3,42,0,"Log House","","Elkridge","2004","Two houses on parcel w/ same address, only 1 historic; JG shows as Haupt House",NA
"659","unnamed","POINT (1357639.44 525068.265)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5794","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-846.pdf"" TARGET=""NEW"">Click Here </a>",846,"9569 N. Laurel Rd",50,10,309,0,"Unnamed","House","Laurel","2004","",NA
"660","unnamed","POINT (1356802.41 527480.2949999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5795","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-847.pdf"" TARGET=""NEW"">Click Here </a>",847,"9340 N. Laurel Rd",50,3,426,37,"Unnamed","House","Laurel","2004","",NA
"661","Small Structure 13166XO","POINT (1288516.8599999999 604800.945)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5796","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-750.pdf"" TARGET=""NEW"">Click Here </a>",750,"MD 94 over Lisbons Little",7,17,0,0,"Small structure 13084XO","","Lisbon","2007","",NA
"662","South Branch Recreational","POINT (1321095.9 617515.6499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5797","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-751.pdf"" TARGET=""NEW"">Click Here </a>",751,"350 Rt 32",4,15,54,0,"Sykes Mill, Howard Cotton Factory, B. F. Shriver Co., Apple Butter Factory","South Branch Recreational Area Survey District","Sykesville","2001","6 structures",NA
"663","Small Structure 13166XO","POINT (1352782.6199999999 526180.605)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5798","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-753.pdf"" TARGET=""NEW"">Click Here </a>",753,"Md 983 over tributary of",50,2,0,0,"Small Structure 13166XO","","Laurel","2001","",NA
"664","Abandoned Farmstead","POINT (1321061.76 592868.0399999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5799","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-754.pdf"" TARGET=""NEW"">Click Here </a>",754,"12955 Route 144",15,15,42,0,"William Meade Farm","","West Friendship","2007","Parcel D",NA
"665","Small Structure 13063XO","POINT (1299534.99 605859.21)","Historic_Sites_View.fid--710a7ce6_150a05f0815_579a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-757.pdf"" TARGET=""NEW"">Click Here </a>",757,"Md 144 over tributary Cat",8,14,0,0,"Small Structure 13063XO","","Lisbon","2000","",NA
"666","Bridge 13155","POINT (1353151.5599999998 561892.725)","Historic_Sites_View.fid--710a7ce6_150a05f0815_579b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-758.pdf"" TARGET=""NEW"">Click Here </a>",758,"S Entrance Road bridge",36,2,517,0,"Bridge #13155 South Entrance Road Bridge","","Columbia","1997","",NA
"667","Bridge #13022","POINT (1323985.3499999999 590250.315)","Historic_Sites_View.fid--710a7ce6_150a05f0815_579c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-775.pdf"" TARGET=""NEW"">Click Here </a>",775,"Md 32 over Middle Patuxen",15,22,0,0,"Bridge # 13022","","West Friendship","1994","",NA
"668","Bridge #13024","POINT (1330537.7999999998 556492.86)","Historic_Sites_View.fid--710a7ce6_150a05f0815_579d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-776.pdf"" TARGET=""NEW"">Click Here </a>",776,"Guilford Rd over Middle P",35,13,0,0,"Bridge # 13024","","Clarksville","1992","",NA
"669","Bridge #13025","POINT (1330659.8399999999 556259.625)","Historic_Sites_View.fid--710a7ce6_150a05f0815_579e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-777.pdf"" TARGET=""NEW"">Click Here </a>",777,"Guilford Rd over Middle P",35,13,0,0,"Bridge # 13025","","Clarksville","1992","",NA
"670","Small Structure #13001","POINT (1280940.18 611986.065)","Historic_Sites_View.fid--710a7ce6_150a05f0815_579f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-778.pdf"" TARGET=""NEW"">Click Here </a>",778,"Md 144 over Hay Meadow Br",7,2,0,0,"Small structure X13001","","Poplar Springs","1998","",NA
"671","Small structure #13064XO","POINT (1303110.8699999999 604322.5199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a0","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-779.pdf"" TARGET=""NEW"">Click Here </a>",779,"Md 144 over branch of Mid",8,15,0,0,"Small structure X13064XO","","Cooksville","1996","",NA
"672","Small Structure #13081XO","POINT (1285727.0699999998 603165.0299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a1","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-780.pdf"" TARGET=""NEW"">Click Here </a>",780,"",7,22,359,0,"Small structure X13081XO","","Lisbon","1997","",NA
"673","Ellicott Mills Middle Sch","POINT (1365922.26 576644.1599999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a2","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-781.pdf"" TARGET=""NEW"">Click Here </a>",781,"4445 Montgomery Rd",30,6,494,0,"Ellicott Mills Middle School","","Ellicott City","1998","",NA
"674","Loudon Ave Culvert","POINT (1388598.42 556089.45)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a3","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-783.pdf"" TARGET=""NEW"">Click Here </a>",783,NA,38,14,217,0,"Loudon Avenue culvert","","Hanover","1993","",NA
"675","Union Chapel","POINT (1305354.75 593087.985)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a4","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-007.pdf"" TARGET=""NEW"">Click Here </a>",7,"Roxbury Mills Rd",14,16,37,0,"Union Chapel","","Glenwood","1974","",NA
"676","","POINT (1390979.94 561356.8949999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a5","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"6204 Old Washington Rd",38,9,838,0,"Old Washington Road Survey District","","Elkridge","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA
"677","","POINT (1390908.5399999998 561298.065)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a6","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"6208-6210 Old Washington",38,9,125,0,"Old Washington Road Survey District","","Elkridge","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA
"678","","POINT (1390609.17 560845.635)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a7","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"6249 Old Washington Rd",38,9,201,0,"Old Washington Road Survey District","","Elkridge","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA
"679","","POINT (1391219.91 561466.0499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a8","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"6184 Old Washington Rd",38,9,676,0,"Old Washington Road Survey District","","Elkridge","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA
"680","","POINT (1391280.21 561489.765)","Historic_Sites_View.fid--710a7ce6_150a05f0815_57a9","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,"6180 Old Washington Rd",38,9,675,0,"Old Washington Road Survey District","","Elkridge","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA
